,f0,f1,f2,f3,f4
72,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
73,0.4490603,-0.005775099,-0.013354204,0.1736763,0.008141691
74,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
75,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
76,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
77,0.4027976,-0.006038511,-0.013353992,0.16960983,0.008062975
78,1.6532092,-0.01011077,-0.016864825,0.54028964,0.006397588
79,2.274274,-0.012915242,-0.018089518,0.71154135,0.0047460496
80,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
81,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
82,-0.32645983,-0.002646452,-0.010940641,-0.10860883,0.008619984
83,0.44860938,-0.005773607,-0.013353193,0.17355259,0.008142488
84,-0.32645983,-0.002646452,-0.010940641,-0.10860883,0.008619984
85,-0.32645983,-0.002646452,-0.010940641,-0.10860883,0.008619984
86,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
87,0.10679367,-0.0046421327,-0.012584448,0.079799354,0.008747982
88,2.260539,-0.016864209,-0.019284746,0.7998388,0.0033985674
89,0.1846855,-0.0076321345,-0.012700527,0.12761419,0.007014309
90,0.94133925,-0.009238537,-0.014568692,0.33243448,0.006306263
91,1.1214738,-0.010108979,-0.0154456245,0.4039296,0.006176858
92,-0.32646087,-0.002646457,-0.010940707,-0.1086094,0.008619968
93,0.90805984,-0.010558954,-0.015793273,0.38792014,0.006437107
94,0.6119158,-0.007700291,-0.014151766,0.25052875,0.0073814434
95,0.24395457,-0.0025689858,-0.012138259,0.060030714,0.0093883695
96,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
97,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
98,1.051602,-0.01021741,-0.014801314,0.36853456,0.0057508647
99,0.2703555,-0.003847397,-0.012585227,0.095616445,0.008948651
100,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
101,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
102,0.07225874,-0.0046312436,-0.012593254,0.062052205,0.008557394
103,0.06522861,-0.0031683794,-0.012123888,0.03935422,0.00931202
104,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
105,0.053204298,-0.006304036,-0.012037094,0.06716235,0.0074852733
106,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
107,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
108,0.16448417,-0.005726472,-0.012456085,0.094558194,0.00794918
109,-0.32645983,-0.002646452,-0.010940641,-0.10860883,0.008619984
110,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
111,1.3808613,-0.012879915,-0.016554356,0.51664287,0.0050155064
112,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
113,1.8364525,-0.012259727,-0.01670273,0.5834799,0.0047761337
114,-0.32645983,-0.002646452,-0.010940641,-0.10860883,0.008619984
115,-0.32646087,-0.002646457,-0.010940707,-0.1086094,0.008619968
116,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
117,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
118,-0.32646084,-0.002646457,-0.010940707,-0.1086094,0.008619968
