,f0,f1,f2,f3,f4
74,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
75,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
76,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
77,0.6246116,0.67610663,-0.6874416,0.6222969,-0.6606989
78,0.6532673,0.9697735,-0.8179506,0.72192216,-0.814417
79,0.734202,1.1777654,-0.9536524,0.83460414,-0.9530839
80,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
81,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
82,-0.14354628,-0.18896155,0.16925436,-0.15328512,0.16947058
83,0.37272596,0.42605895,-0.41636392,0.38064468,-0.41331935
84,-0.14354628,-0.18896155,0.16925436,-0.15328512,0.16947058
85,-0.14354628,-0.18896155,0.16925436,-0.15328512,0.16947058
86,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
87,0.28200454,0.25380737,-0.28816143,0.270647,-0.284146
88,0.88306916,1.2279217,-1.0731487,0.9545609,-1.0649865
89,0.42076957,0.37215936,-0.4282209,0.40102506,-0.4176076
90,0.48393685,0.6101778,-0.5638504,0.5081079,-0.55770415
91,0.44458365,0.5868611,-0.5272243,0.4747066,-0.5270108
92,-0.14354715,-0.18896237,0.16925526,-0.15328589,0.16947135
93,0.74489033,0.84166735,-0.82883763,0.75509584,-0.8165914
94,0.4390942,0.5294578,-0.50406146,0.4506874,-0.48857594
95,0.15192041,0.23252207,-0.19436368,0.16869128,-0.18979138
96,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
97,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
98,0.66374874,0.813126,-0.7645438,0.6897348,-0.7522458
99,0.35697317,0.40271276,-0.3993676,0.3605547,-0.38556898
100,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
101,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
102,0.26544845,0.25416332,-0.27822605,0.25695527,-0.27054745
103,0.30253035,0.29934293,-0.322432,0.29454398,-0.30805075
104,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
105,0.43965435,0.38789064,-0.44986704,0.4159674,-0.4273839
106,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
107,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
108,0.31442928,0.3040886,-0.33058986,0.30574536,-0.32220984
109,-0.14354628,-0.18896155,0.16925436,-0.15328512,0.16947058
110,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
111,0.41661108,0.5558539,-0.49614516,0.4470824,-0.49750262
112,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
113,0.8701663,1.2179029,-1.060988,0.94319963,-1.0522274
114,-0.14354628,-0.18896155,0.16925436,-0.15328512,0.16947058
115,-0.14354715,-0.18896237,0.16925526,-0.15328589,0.16947135
116,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
117,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
118,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
119,0.5026544,0.8654385,-0.67473805,0.58998615,-0.68363404
120,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
121,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
122,0.37273937,0.5289381,-0.4564642,0.4078418,-0.458157
123,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
124,0.45450926,0.5813404,-0.5319358,0.47980547,-0.5297666
125,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
126,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
127,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
128,0.5114404,0.6608625,-0.6017996,0.5407296,-0.59672445
129,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
130,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
131,-0.14354633,-0.18896142,0.16925433,-0.1532851,0.16947056
