,clusterid,agree,comment,retweet,sentiment
900,0,2,0,0,neu
901,0,2,0,0,neu
902,3,0,0,0,pos
903,3,0,0,0,pos
904,1,4,0,2,pos
905,1,4,0,2,pos
906,3,0,0,0,neu
907,1,0,0,0,neu
908,0,0,0,0,pos
909,3,0,0,0,pos
910,3,0,0,0,neu
911,1,0,0,0,neu
912,1,2,0,1,pos
913,1,2,0,1,pos
914,0,6,0,0,pos
915,0,6,0,0,pos
916,2,0,0,0,pos
917,3,0,0,0,pos
918,0,0,0,0,neg
919,1,0,0,0,neg
920,0,10,2,1,neu
921,0,10,2,1,neu
922,0,2,0,0,pos
923,0,2,0,0,pos
924,0,2,0,0,neu
925,0,2,0,0,neu
926,1,2,0,1,neu
927,1,2,0,1,neu
928,0,1,0,0,pos
929,0,1,0,0,pos
930,3,2,0,2,neg
931,3,2,0,2,neg
932,0,0,0,0,pos
933,3,0,0,0,pos
934,0,1,0,0,pos
935,0,1,0,0,pos
936,2,0,0,0,neu
937,0,0,0,0,neu
938,3,5,0,4,pos
939,3,5,0,4,pos
940,0,4,0,0,pos
941,0,4,0,0,pos
942,3,0,0,0,neg
943,0,0,0,0,neg
944,2,0,0,0,neu
945,3,0,0,0,neu
946,3,23,1,15,neg
947,3,23,1,15,neg
948,1,2,0,1,neu
949,1,2,0,1,neu
950,0,1,0,0,pos
951,0,1,0,0,pos
952,3,2,0,2,neg
953,3,2,0,2,neg
954,2,0,0,0,pos
955,3,0,0,0,pos
956,0,1,0,0,pos
957,0,1,0,0,pos
958,2,0,0,0,neu
959,2,0,0,0,neu
960,3,5,0,4,pos
961,3,5,0,4,pos
962,0,4,0,0,pos
963,0,4,0,0,pos
964,1,0,0,0,neg
965,2,0,0,0,neg
966,3,0,0,0,neu
967,2,0,0,0,neu
968,3,23,1,15,neg
969,3,23,1,15,neg
970,3,0,0,0,pos
971,3,0,0,0,pos
972,1,0,0,0,pos
973,2,0,0,0,pos
974,0,1,0,0,neu
975,0,1,0,0,neu
976,0,0,0,0,neu
977,0,0,0,0,neu
978,0,1,0,0,pos
979,0,1,0,0,pos
980,2,0,0,0,neu
981,0,0,0,0,neu
982,3,3,0,3,pos
983,3,3,0,3,pos
984,2,5,4,4,neu
985,2,5,4,4,neu
986,0,0,0,0,pos
987,3,0,0,0,pos
988,0,0,0,0,neg
989,0,0,0,0,neg
990,0,0,0,0,neu
991,0,0,0,0,neu
992,3,0,0,0,pos
993,1,0,0,0,pos
994,2,0,0,0,pos
995,0,0,0,0,pos
996,1,3,0,1,neu
997,1,3,0,1,neu
998,1,0,0,0,pos
999,3,0,0,0,pos
1000,2,0,1,0,neu
1001,2,0,1,0,neu
1002,1,9,1,3,pos
1003,1,9,1,3,pos
1004,1,0,0,0,neu
1005,3,0,0,0,neu
1006,0,0,0,0,neu
1007,2,0,0,0,neu
1008,3,1,0,1,pos
1009,3,1,0,1,pos
1010,3,0,0,1,neu
1011,3,0,0,1,neu
1012,3,0,0,0,neu
1013,0,0,0,0,neu
1014,3,0,0,0,pos
1015,1,0,0,0,pos
1016,1,14,1,6,neu
1017,1,14,1,6,neu
1018,3,0,0,0,neu
1019,1,0,0,0,neu
1020,0,1,0,0,pos
1021,0,1,0,0,pos
1022,3,0,0,2,neu
1023,3,0,0,2,neu
1024,2,0,0,0,neg
1025,3,0,0,0,neg
1026,3,5,1,3,pos
1027,3,5,1,3,pos
1028,2,0,0,0,pos
1029,3,0,0,0,pos
1030,3,0,0,0,pos
1031,3,0,0,0,pos
1032,0,23,0,0,neu
1033,0,23,0,0,neu
1034,0,4,1,0,neu
1035,0,4,1,0,neu
1036,1,40,1,15,neu
1037,1,40,1,15,neu
1038,1,0,0,0,pos
1039,0,0,0,0,pos
1040,0,3,0,0,pos
1041,0,3,0,0,pos
1042,0,0,0,0,neg
1043,0,0,0,0,neg
1044,0,36,1,6,pos
1045,0,36,1,6,pos
1046,3,0,0,0,pos
1047,2,0,0,0,pos
1048,2,0,0,0,pos
1049,1,0,0,0,pos
1050,2,0,1,0,pos
1051,2,0,1,0,pos
1052,0,0,0,0,neg
1053,2,0,0,0,neg
1054,0,2,0,0,neu
1055,0,2,0,0,neu
1056,3,0,0,0,neu
1057,1,0,0,0,neu
1058,0,0,0,0,neu
1059,3,0,0,0,neu
1060,0,0,0,0,neg
1061,2,0,0,0,neg
1062,1,8,0,2,neg
1063,1,8,0,2,neg
1064,2,0,0,0,pos
1065,1,0,0,0,pos
